Date,Description,Amount,Type,Payee,Reference
"2026-07-01","AWS Cloud Hosting Charge",-450,"Expense","Amazon Web Services","INV-9901"
"2026-07-02","MICROSOFT 365 SUBSCRIPTION",-125.5,"Expense","Microsoft Corp","MSFT-883"
"2026-07-03","GOOGLE WORKSPACE MONTHLY",-72,"Expense","Google LLC","GGL-7721"
"2026-07-04","STARBUCKS COFFEE MEET",-34.8,"Expense","Starbucks Coffee","SBUX-112"
"2026-07-05","UBER RIDE CITY CENTER",-28.5,"Expense","Uber Technologies","UBR-992"
"2026-07-06","DELTA AIR LINES FLIGHT BOOKING",-480,"Expense","Delta Air Lines","DAL-4412"
"2026-07-07","MARRIOTT HOTEL STAY NYC",-650,"Expense","Marriott International","MAR-8812"
"2026-07-08","STRIPE PAYOUT ONLINE SALES",3450,"Income","Stripe Inc","STR-1002"
"2026-07-09","SHOPIFY DIRECT DEPOSIT",2890,"Income","Shopify Inc","SHP-771"
"2026-07-10","ZOOM PRO MONTHLY BILL",-14.99,"Expense","Zoom Video Communications","ZM-331"
"2026-07-11","SLACK TEAM PRO SUBSCRIPTION",-80,"Expense","Slack Technologies","SLK-001"
"2026-07-12","INTUIT QUICKBOOKS ONLINE",-90,"Expense","Intuit Inc","INT-552"
"2026-07-13","APPLE STORE MACBOOK PRO ADAPTER",-129,"Expense","Apple Inc","APL-129"
"2026-07-14","GITHUB ENTERPRISE TEAM PLAN",-42,"Expense","GitHub Inc","GH-991"
"2026-07-15","FEDEX OVERNIGHT PARCEL SHIPPING",-65.4,"Expense","FedEx Corp","FDX-882"
"2026-07-16","STAPLES PAPER AND STATIONERY",-145.2,"Expense","Staples Inc","STP-441"
"2026-07-17","WEWORK MONTHLY OFFICE RENT",-1200,"Expense","WeWork Space","WW-1200"
"2026-07-18","VERIZON WIRELESS MONTHLY BILL",-210,"Expense","Verizon Wireless","VZ-990"
"2026-07-19","FACEBOOK ADS CAMPAIGN 2026",-750,"Expense","Meta Platforms Inc","FB-750"
"2026-07-20","GOOGLE ADS PPC ADVERTISING",-980,"Expense","Google LLC","GAD-980"
"2026-07-21","GUSTO PAYROLL PROCESSING FEE",-65,"Expense","Gusto Payroll","GST-65"
"2026-07-22","MONTHLY BANK SERVICE FEE",-25,"Expense","JPMorgan Chase Bank","JPM-25"
"2026-07-23","CLIENT INVOICE #1042 RETAINER",5000,"Income","Acme Enterprise Corp","INV-1042"
"2026-07-24","QUARTERLY DIVIDEND PAYOUT",420.5,"Income","Vanguard Investment","VNG-420"
"2026-07-25","POWER ELECTRIC UTILITY BILL",-195,"Expense","ConEdison Electric","CE-195"
